"logFC","logCPM","F","PValue","FDR","external_gene_name"
-6.63871574742439,1.40698509612478,95.518752435207,6.67856664329226e-15,1.8997817850504e-10,"ZFP42"
-4.96057832824497,-0.251635561206255,91.8652806326318,1.23174492498486e-14,1.8997817850504e-10,"MYLPF"
-7.60964218726848,3.07414655239957,80.1253523924924,6.88549276486268e-13,7.07989317725731e-09,"KRT1"
-6.9100905629281,2.14780971305852,74.2012989189618,2.02750311357621e-12,1.56355971361213e-08,"ZP2"
-4.46458343521876,-0.691412183777606,68.9803967694422,3.26271410390904e-12,1.73735525167298e-08,"PYDC1"
-7.30066289157413,2.73148309814875,72.0972411558163,4.23262042621206e-12,1.73735525167298e-08,"MYH2"
-4.3968257621808,-1.17739401217367,65.0951603920627,4.26283758363056e-12,1.73735525167298e-08,"KLK12"
-6.10793637355833,1.3259991871673,70.6352788625262,4.50573540810576e-12,1.73735525167298e-08,"NRAP"
-2.49121422825512,2.05060288469221,65.9913736112973,4.49621857333671e-11,1.54105393701908e-07,"OR2A7"
-5.00660075563494,-0.037554214441337,59.5641649008219,5.28559193433911e-11,1.63044654398558e-07,"KRT2"
-5.28738026028596,8.22059071203756,60.3065225912888,1.72763977092488e-10,4.84477309215634e-07,"SNORD3C"
-2.69670430119667,3.49490254032111,59.1425478954213,2.32205720835933e-10,5.64089724036333e-07,"RBP1"
-4.44640508405982,1.20841131830012,58.3445580379391,2.44744484129465e-10,5.64089724036333e-07,"DSC1"
-5.93544976779794,3.58690939225855,58.7124144525579,2.56013749684205e-10,5.64089724036333e-07,"FLG2"
-2.41264548314754,-0.963101510148765,54.4564989611392,5.46705793365657e-10,1.12428224053003e-06,"FAM166B"
-3.8079609724074,1.85289916601264,55.2139230247709,6.27542501355768e-10,1.20986272120759e-06,"KLHL41"
-4.1430104060169,-0.47863557021233,51.0908279631541,8.10013402398758e-10,1.46979314257615e-06,"LINC01443"
-3.9884276517194,-1.30118280548298,48.2653033564698,9.23205011233899e-10,1.58211694341845e-06,"NR5A1"
-1.72883502847332,2.15482720887853,52.5737082340556,1.25499417141768e-09,2.03751606345901e-06,"OR2A1-AS1"
-5.62425582492032,0.980425640255315,49.6285503151002,1.37921061317135e-09,2.06460389746582e-06,"POTEJ"
-3.51300927009904,0.571955636877764,51.7744179895381,1.40553965853348e-09,2.06460389746582e-06,"KIAA1210"
-6.38868910922149,2.90312203968413,51.0713490477125,1.6022960066876e-09,2.24663749628602e-06,"ASCL1"
-3.39092418381802,1.10248755709331,50.5822231404421,2.08571680932154e-09,2.79730897465832e-06,"AC109826.1"
-4.40809027834954,-0.572464733242214,45.6761560775785,3.12181101535796e-09,4.01243768294779e-06,"RP11-345J13.1"
-4.10108686978356,0.393239138767623,48.0643843479203,3.26698100614505e-09,4.03106252386225e-06,"DNM1P46"
-4.15926595875827,2.29609809211101,48.5009130468353,3.75381995908933e-09,4.43899962166517e-06,"SIM1"
-3.46066041060792,0.0796379172829428,47.7024803504805,3.88540181492396e-09,4.43899962166517e-06,"RP11-145A3.1"
-4.75083925003891,1.72892749715117,47.4129661249943,4.7076759810604e-09,5.18634574956322e-06,"TNNC1"
-5.70815618980155,1.8858075850366,46.2768565733677,5.5102439822339e-09,5.83091144351524e-06,"MYH1"
-3.60509096746335,-0.984337819409181,44.4042763939671,5.67080569603065e-09,5.83091144351524e-06,"FOXL2"
-4.86001893204946,2.14678737635782,45.6917630191161,7.91586975728694e-09,7.87680110977517e-06,"RBP2"
-3.14370857689125,-1.39249085660934,43.0028771301934,8.38842922603889e-09,8.06804928231096e-06,"LINC01208"
-4.538560497574,0.582305376910598,44.4507807486001,8.63116757922202e-09,8.06804928231096e-06,"ANKRD26P1"
-4.54802115234746,0.314236269762753,42.6658201414277,1.31154991262277e-08,1.18992294572572e-05,"CA6"
-1.80513367723542,4.69255726569358,43.4448711339824,1.54695805872227e-08,1.36340043535445e-05,"ARHGEF34P"
-1.70267040081116,3.39476186726105,43.1147343412192,1.70782676162536e-08,1.4633703365516e-05,"AC009237.8"
-4.62485084862031,1.20013325531031,41.8347785812583,2.19555147488568e-08,1.8304371985351e-05,"FLJ41941"
-4.01308224141499,-1.01801594001842,38.3275804466413,3.04111514479449e-08,2.46866523345988e-05,"CACNA1S"
-1.03151237540201,3.18502756648578,40.858199881565,3.31228325728075e-08,2.61984619582921e-05,"RP11-212P7.2"
-2.61011857963043,-1.83402109707088,37.7806638757507,4.23402158259183e-08,3.26026854784053e-05,"RP11-1069G10.2"
-3.08021373834348,-1.60389823758111,37.5518158260075,4.33335528451589e-08,3.26026854784053e-05,"TFDP3"
-4.18580866382643,-0.0840536643936459,38.2103117681443,5.07578814241132e-08,3.72792468640385e-05,"RLBP1"
-2.93120789558777,-2.21525194330245,35.7070296833799,5.43092105613551e-08,3.895991205084e-05,"GPR31"
-3.13349823538738,1.18540322438212,38.0799763582426,7.65843869839959e-08,5.369087693853e-05,"RP11-527N22.1"
-4.24347271282661,1.52681995970824,37.4311278610085,9.09206290704797e-08,6.2325080998602e-05,"CYP4F8"
-3.11945747292653,-1.63693589107189,35.1172378358726,9.50970327242674e-08,6.37708297488147e-05,"CECR3"
-2.0195659252211,3.77903462634491,37.1092304560221,1.03283849280631e-07,6.77871680587151e-05,"CTAGE4"
-3.63735512503956,2.3629525479427,36.7651031347627,1.15844003533675e-07,7.44466661875681e-05,"CA3"
-3.58809305671587,3.86222113693983,35.2769671884363,1.83763885417139e-07,0.000115684991295153,"FLG"
-2.56031137372018,-2.47500210655893,32.1097364888889,1.98123822493197e-07,0.000122230511048953,"TUBA3E"
-2.83349361861531,-0.0748897669007869,34.7382204378747,2.03348186432174e-07,0.000122993755036731,"WDR63"
-3.51812710528793,0.03600567434165,34.3775805397336,2.13634611808507e-07,0.000126576638065906,"LMOD2"
-3.98294827898215,3.75796643036888,34.751413321808,2.17478581952638e-07,0.000126576638065906,"RP11-1220K2.2"
-2.35489125539877,1.12632336735495,34.166090434774,2.62929677859733e-07,0.000150196143943318,"ASPRV1"
-3.0922629756766,-1.63330499316669,31.8462951876827,3.06126344134648e-07,0.0001716923515913,"ANTXRL"
-4.71120601517196,2.48014295710595,33.4421239911369,3.28953391713457e-07,0.000181200451324732,"XIRP2"
-3.53662346194639,-1.09370885839567,31.8410120728945,3.4062491106544e-07,0.00018433783564273,"MUSTN1"
-3.09070278825458,2.11417668526249,32.4264714335157,4.61633559152979e-07,0.000245517420675723,"TNNI1"
-2.78455655232703,-0.966900885890304,31.6722615026658,4.71624704625186e-07,0.000246566816389874,"TNNC2"
-3.09325881705535,-1.84177117236039,30.2861545333777,4.79593120348574e-07,0.000246566816389874,"RP11-95I16.6"
-4.35435371961364,1.12669601161738,31.8085607950094,5.27485142409525e-07,0.000266743183408305,"CKM"
-1.34508038658417,2.0272418615411,31.7899352453796,5.6733107631287e-07,0.000282265511468114,"FAHD2CP"
-2.61942943872909,0.539145341251907,31.5819291965888,6.00864073619284e-07,0.000290119036126156,"FER1L5"
-2.34886917179437,2.51883763179744,31.6102387262654,6.01926226604661e-07,0.000290119036126156,"DNAH17"
-4.29344547067262,5.09069299649311,31.4175663279589,6.3969040044888e-07,0.000303577381271486,"SLC15A1"
-2.33973004522066,4.36976560278915,31.2810709304614,6.68131598551266e-07,0.000310032020298656,"MFI2"
